source_row_number,field_name,issue_code,raw_value,detail
1059,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
1060,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1060,School,school_missing,,School is blank in the source export
1064,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1064,School,school_missing,,School is blank in the source export
1064,School,school_missing_undergraduate,,School is blank for an undergraduate application
1065,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1065,School,school_missing,,School is blank in the source export
1067,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1067,School,school_missing,,School is blank in the source export
1068,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
1068,School,school_missing,,School is blank in the source export
1068,School,school_missing_undergraduate,,School is blank for an undergraduate application
1071,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
1071,School,school_missing,,School is blank in the source export
1073,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
1073,School,school_missing,,School is blank in the source export
